tier,company,website,country,city_region,property_count,count_source,email,booking_setup,incumbent_software,companies_house_no,entity_status,notes
D,Luxury Cottages,luxurycottages.com,UK,UK-wide,27,listing page,not published,online_booking,SuperControl,,,DQ - SuperControl
D,Cottages Made For Two,cottagesmadefortwo.com,UK,Cumbria,8,listing page,not published,online_booking,Freetobook,,,DQ - Freetobook
D,Skye Self Catering,skye-self-catering.com,UK,Isle of Skye,not stated,,not published,online_booking,Freetobook,,,DQ - Freetobook
D,East Jordeston Cottages,ejcottages.com,UK,Tenby Pembrokeshire,not stated,,hannah@ejcottages.com,enquiry_form,SuperControl,,,DQ - SuperControl and a personal mailbox
D,The Bringewood,thebringewood.co.uk,UK,Ludlow Shropshire,7,listing page,not published,online_booking,SuperControl,,,DQ - SuperControl
D,Gower Holidays,gowerholidays.com,UK,Gower Peninsula,71,listing page,not published,online_booking,Elina,,,DQ - Elina
D,West Wales Holiday Cottages,westwalesholidaycottages.co.uk,UK,Cardigan Bay,650+,homepage,not published,online_booking,holidaycottages.co.uk,,,DQ
D,Peak Venues,peakvenues.co.uk,UK,Peak District,not stated,,hello@peakvenues.co.uk,online_booking,SuperControl,,,DQ - SuperControl
D,Short Let Space,shortletspace.co.uk,UK,Cotswolds,not stated,,stay@shortletspace.co.uk,online_booking,SuperControl,,,DQ - SuperControl
D,StayCotswold,staycotswold.com,UK,Cotswolds,not stated,,stay@staycotswold.com,online_booking,SuperControl,,,DQ - SuperControl
D,King John's Cottages,kingjohnscottages.co.uk,UK,Burford Cotswolds,not stated,,not published,online_booking,Freetobook,,,DQ - Freetobook
D,Reeth Holiday Cottages,reethholidaycottages.co.uk,UK,Reeth Yorkshire Dales,4,homepage,info@reethholidaycottages.co.uk,online_booking,SuperControl,,,DQ - SuperControl
D,Country Cottages Online (XE Website Solutions Ltd),countrycottagesonline.com,UK,Essex (directory),11 in Lincolnshire,region page,not published,online_booking,none named,03991504,active Ltd - advertising agency,DQ - a directory/ad agency not an operator
D,Heartland Cabin Rentals,heartlandrentals.com,US,Gatlinburg TN,not stated,,none published,online_booking,Book on the Bright Side,,,DQ - also no email published
D,Bear Camp Cabin Rentals,bearcampcabins.com,US,Pigeon Forge TN,not stated,,reservations@bearcampcabins.com,online_booking,own,,,DQ
D,Carolina Mornings,carolinamornings.com,US,Asheville NC,200+,homepage,none published,online_booking,TrackHS,,,DQ - also no email published
